0,1,2,3
Дата,Начало сеанса,Время сеанса (минут),Название сеанса
18.07,13-00,60,МАССОВОЕ ХОККЕЙНОЕ КАТАНИЕ
18.07,14-00,60,СВОБОДНОЕ ФИГУРНОЕ КАТАНИЕ
18.07,20-00,60,СВОБОДНОЕ ФИГУРНОЕ КАТАНИЕ
18.07,21-00,60,МАССОВОЕ ХОККЕЙНОЕ КАТАНИЕ
19.07,13-00,60,СВОБОДНОЕ ФИГУРНОЕ КАТАНИЕ
19.07,14-00,45,МАССОВОЕ КАТАНИЕ
19.07,20-00,45,МАССОВОЕ КАТАНИЕ
19.07,21-00,60,СВОБОДНОЕ ФИГУРНОЕ КАТАНИЕ
20.07,13-00,60,МАССОВОЕ ХОККЕЙНОЕ КАТАНИЕ
20.07,17-30,60,БОЛЬШОЕ МАССОВОЕ КАТАНИЕ
20.07,18-45,45,СЕМЕЙНОЕ МАССОВОЕ КАТАНИЕ
20.07,19-45,60,СВОБОДНОЕ ФИГУРНОЕ КАТАНИЕ
20.07,21-00,60,МАССОВОЕ ХОККЕЙНОЕ КАТАНИЕ
21.07,13-00,60,МАССОВОЕ ХОККЕЙНОЕ КАТАНИЕ
21.07,14-00,60,СВОБОДНОЕ ФИГУРНОЕ КАТАНИЕ
21.07,20-00,60,СВОБОДНОЕ ФИГУРНОЕ КАТАНИЕ
21.07,21-00,60,МАССОВОЕ ХОККЕЙНОЕ КАТАНИЕ
21.07,21-15,45,МАССОВОЕ КАТАНИЕ
22.07,13-30,60,МАССОВОЕ ХОККЕЙНОЕ КАТАНИЕ
22.07,14-00,60,СВОБОДНОЕ ФИГУРНОЕ КАТАНИЕ
22.07,17-30,60,МАССОВОЕ ХОККЕЙНОЕ КАТАНИЕ
22.07,18-45,60,СВОБОДНОЕ ФИГУРНОЕ КАТАНИЕ
22.07,19-00,60,МАССОВОЕ ХОККЕЙНОЕ КАТАНИЕ
22.07,20-00,45,МАССОВОЕ КАТАНИЕ
22.07,20-15,60,СВОБОДНОЕ ФИГУРНОЕ КАТАНИЕ
23.07,13-30,60,МАССОВОЕ ХОККЕЙНОЕ КАТАНИЕ
23.07,14-30,45,СЕМЕЙНОЕ МАССОВОЕ КАТАНИЕ
23.07,14-45,60,МАССОВОЕ ХОККЕЙНОЕ КАТАНИЕ
23.07,15-45,45,МАССОВОЕ КАТАНИЕ
23.07,16-00,60,СВОБОДНОЕ ФИГУРНОЕ КАТАНИЕ
23.07,17-00,45,МАССОВОЕ КАТАНИЕ
23.07,17-15,60,СВОБОДНОЕ ФИГУРНОЕ КАТАНИЕ
23.07,18-15,45,МАССОВОЕ КАТАНИЕ
23.07,18-30,60,МАССОВОЕ ХОККЕЙНОЕ КАТАНИЕ
23.07,19-45,60,СВОБОДНОЕ ФИГУРНОЕ КАТАНИЕ
24.07,12-45,60,СВОБОДНОЕ ФИГУРНОЕ КАТАНИЕ
24.07,13-00,60,МАССОВОЕ ХОККЕЙНОЕ КАТАНИЕ
24.07,14-00,60,СВОБОДНОЕ ФИГУРНОЕ КАТАНИЕ
24.07,14-15,60,МАССОВОЕ ХОККЕЙНОЕ КАТАНИЕ
24.07,15-15,45,СЕМЕЙНОЕ МАССОВОЕ КАТАНИЕ
24.07,15-30,60,МАССОВОЕ ХОККЕЙНОЕ КАТАНИЕ
24.07,16-30,45,МАССОВОЕ КАТАНИЕ
24.07,16-45,60,СВОБОДНОЕ ФИГУРНОЕ КАТАНИЕ
24.07,17-45,45,МАССОВОЕ КАТАНИЕ
24.07,19-00,45,МАССОВОЕ КАТАНИЕ
